ID;location;depth;habitat_certainty;lat;lon
279;Milford_Haven;;HH;51.67913;-4.95729
280;Milford_Haven;;HH;51.66071;-5.09925
281;Milford_Haven;;HH;51.66071;-5.09925
282;Milford_Haven;;HH;51.66071;-5.09925
283;Milford_Haven;;HH;51.66071;-5.09925
284;Milford_Haven;;HH;51.66071;-5.09925
285;Milford_Haven;;HH;51.66071;-5.09925
286;Milford_Haven;;HH;51.66071;-5.09925
287;Milford_Haven;;HH;51.66071;-5.09925
288;Milford_Haven;;HH;51.66071;-5.09925
289;Milford_Haven;;HH;51.74836;-5.12905
294;Milford_Haven;;HH;51.66071;-5.09925
295;English_Channel;;HH;50.42343;0.31213
296;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
297;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
298;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
299;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
300;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
301;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
302;Bristol_Channel_III_Swansea;;HH;51.53928;-3.87836
303;Bristol_Channel_III_Swansea;;HH;51.48746;-4.30373
304;Bristol_Channel_III_Swansea;;HH;51.50491;-4.16204
305;Bristol_Channel_III_Swansea;;HH;51.50491;-4.16204
306;Bristol_Channel_III_Swansea;;HH;51.50491;-4.16204
307;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
308;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
309;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
310;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
311;Bristol_Channel_III_Swansea;;HH;51.52218;-4.02025
312;Bristol_Channel_III_Swansea;;HH;51.48746;-4.30373
313;Bristol_Channel_III_Swansea;;HH;51.46985;-4.44533
314;Inner_Bristol_Channel;;HH;51.52218;-4.02025
315;Inner_Bristol_Channel;;HH;51.52218;-4.02025
316;Inner_Bristol_Channel;;HH;51.53928;-3.87836
317;Inner_Bristol_Channel;;HH;51.45127;-3.85118
318;Clew_Bay;;HH;53.75717;-9.62433
319;Jersey;;HH;49.29731;-1.96682
320;Lough_Foyle;;HH;55.16136;-7.06267
321;Bosham_Channel;;HH;50.85568;-0.92761
322;Brest;;HL;48.6213;-4.56516
323;Emsworth_harbour;;HH;50.85568;-0.92761
324;English_Channel;;HL;49.1941;-2.08065
325;English_Channel;;HL;49.99;0.54147
326;Falmouth;;HH;50.20235;-5.0543
327;Guernsey;;HH;49.37117;-2.12495
328;Helford_estuary;;HH;50.09621;-5.16338
329;Jersey;;HH;49.29731;-1.96682
330;Langstone_Harbour;;HH;50.8422;-1.06827
331;Strangford_Lough;;HH;54.51846;-5.67602
332;Dartmouth_Harbour;;HH;50.3062;-3.5093
334;Strangford_Lough;;HH;54.43105;-5.64219
335;Strangford_Lough;;HH;54.51846;-5.67602
336;Achill_Sound;;HH;53.99082;-9.8965
337;Arklow;;HH;52.72161;-6.07866
338;Arklow;;HH;52.3127;-6.37986
339;Ballycroy_Bay;;HH;53.99082;-9.8965
340;Ballydehob;;HH;51.57066;-9.3913
341;Ballysodare;;HH;54.20387;-8.56343
342;Ballyvalden;;HH;52.41999;-6.26906
343;Bay_of_Kilcummin;;HH;52.27263;-10.166
344;Belderig;;HH;54.32163;-9.57842
345;Belfast_Lough;;HH;54.71263;-5.59235
346;Birterbui_Bay;;HH;53.42633;-9.9387
347;Blacksod_Bay;;HH;54.16262;-9.9812
348;Broadhaven_Bay;;HH;54.27305;-9.87554
349;Carlingford_Lough;shore;HH;54.09052;-6.1407
350;Clew_Bay;;HH;53.75717;-9.62433
351;Coltrum_Bed;;HH;;
352;Cork_Harbour;;HH;51.92797;-8.33996
353;Fort_Stewart;;HH;55.01039;-7.48233
354;Galway;;HH;53.20157;-9.05042
355;Inch_Island;;HH;55.09718;-7.52084
356;Kenmare;;HH;51.89141;-9.68538
357;Kilcorgan;;HH;53.22487;-8.90515
358;Lambay;;HH;53.54696;-6.08502
359;Lissadell;;HH;54.37669;-8.64313
360;Lough_Foyle;;HH;55.16136;-7.06267
361;Lough_Swilly;;HH;55.09718;-7.52084
362;Millisle;;HH;54.6252;-5.55847
363;Rathmullen;;HH;55.09718;-7.52084
364;Rutland;;HH;54.96385;-8.43308
365;Shannon;;HH;52.5661;-9.53424
366;Shannon;;HH;52.5661;-9.53424
367;Shannon;;HH;52.5661;-9.53424
368;Skerries;;HH;53.54696;-6.08502
369;Sound_of_Bullsmouth;;HH;53.99082;-9.8965
370;Tralee_Bay;;HH;52.23562;-9.84253
371;Valentia_Harbour;;HH;51.96556;-10.32749
372;Wexford;;HH;52.3127;-6.37986
373;Wicklow;;HH;53.00332;-6.03187
374;Jack_Sound;;HH;51.72973;-5.27116
375;Jack_Sound;;HH;51.72973;-5.27116
376;Dudgeon_Light;;HH;53.28659;1.03482
377;Wexford;;HH;52.3127;-6.37986
380;Green_grounds;;HH;51.62728;-3.90567
381;River_Medway;;HH;51.44925;0.67536
382;Bay_of_Saint-Brieuc;;HH;48.57252;-2.75438
384;Lundy_Island;;HH;51.17074;-4.64242
385;River_Medway;;HH;51.36021;0.6936
386;Belfast_Bay;;HH;54.67368;-5.89594
387;Dudgeon_Light;;HH;53.28659;1.03482
391;Arklow;;HH;52.93557;-5.85337
393;Frederikshavn;;HH;57.48154;10.56287
394;Lough_Foyle;;HH;55.16136;-7.06267
395;Morecambe_Bay;2_-_3_metres;HH;53.90728;-3.10842
396;Edderachillis;;HH;58.33506;-5.23879
397;Firth_of_Cromarty;;HH;57.72538;-4.12202
398;Firth_of_Forth;;HH;55.98306;-3.31571
399;Firth_of_Forth;;HH;55.99953;-3.158
400;Firth_of_Forth;;HH;56.05442;-3.50408
401;Fleet_bay;;HH;54.79089;-4.18865
402;Isle_of_Harris;;HH;57.93882;-6.9806
403;Inverchaolain;;HH;55.96428;-5.11048
404;Isle_of_Harris;;HH;57.87293;-6.77533
405;Kinghorn;;HH;56.08765;-3.18811
406;Kirkcudbright;intertidal;HH;54.80837;-4.03582
407;Loch_Craignish;shore;HH;56.18869;-5.52992
408;Loch_Creran;;HH;56.48946;-5.32016
409;Loch_Feochan;;HH;56.38284;-5.44321
410;Loch_Fyne;;HH;56.03292;-5.30209
411;Loch_Melfort;;HH;56.27611;-5.56563
412;Loch_Ryan;;HH;54.96352;-5.04939
413;Loch_Ryan;;HH;54.96352;-5.04939
414;Loch_Skipport;shore;LH;57.35338;-7.22162
415;Loch_Spelve;;HH;56.34402;-5.7597
416;Loch_Tarbert;;HH;55.73223;-5.51007
417;Lochranza,_Arran;;HH;55.66389;-5.31963
418;Orkney;;HH;59.02309;-3.05119
419;Port_Patrick;;HH;54.85723;-5.1691
420;Shetland;;HH;60.10569;-1.10214
421;Shetland;;HH;60.26884;-1.33968
422;Shetland;;HH;60.54913;-1.25216
423;Shetland;;HH;60.35749;-1.37014
424;Carloway_Bay_Lewis;;HH;58.24197;-6.77494
426;Clew_Bay;;HH;53.75717;-9.62433
