nr_in_paper;country;location;status;year_of_screening;source;lat;lon
63.55;France;Brittany55;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.426438;-4.802797
63.56;France;Brittany56;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.380216;-4.796896
63.57;France;Brittany57;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.332382;-4.789226
63.58;France;Brittany58;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.321397;-4.721961
63.59;France;Brittany59;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.346303;-4.665953
63.60;France;Brittany60;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.329901;-4.602397
63.61;France;Brittany61;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.349020;-4.539876
63.62;France;Brittany62;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.349892;-4.470300
63.63;France;Brittany63;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.310909;-4.438356
63.64;France;Brittany64;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.307416;-4.369655
63.65;France;Brittany65;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.269856;-4.649273
63.66;France;Brittany66;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.232614;-4.613945
63.67;France;Brittany67;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.192608;-4.579638
63.68;France;Brittany68;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.187410;-4.503229
63.69;France;Brittany69;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.209757;-4.440074
63.70;France;Brittany70;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.195206;-4.373800
63.71;France;Brittany71;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.168693;-4.316103
63.72;France;Brittany72;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.123433;-4.316103
63.73;France;Brittany73;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.124994;-4.387835
63.74;France;Brittany74;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.117187;-4.455668
63.75;France;Brittany75;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.106775;-4.520382
63.76;France;Brittany76;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.096361;-4.581977
63.77;France;Brittany77;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.084725;-4.647961
63.78;France;Brittany78;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.074044;-4.714395
63.79;France;Brittany79;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.040510;-4.760155
63.80;France;Brittany80;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.022445;-4.698682
63.81;France;Brittany81;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";48.016436;-4.636104
63.82;France;Brittany82;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.996558;-4.575211
63.83;France;Brittany83;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.996558;-4.507258
63.84;France;Brittany84;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.971158;-4.452248
63.85;France;Brittany85;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.936973;-4.411207
63.86;France;Brittany86;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.896813;-4.381905
63.87;France;Brittany87;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.850214;-4.370381
63.88;France;Brittany88;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.808218;-4.395075
63.89;France;Brittany89;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.787428;-4.332189
63.90;France;Brittany90;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.784110;-4.263378
63.91;France;Brittany91;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.791189;-4.196542
63.92;France;Brittany92;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.822589;-4.145180
63.93;France;Brittany93;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.855469;-4.098190
63.94;France;Brittany94;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.844200;-4.032671
63.95;France;Brittany95;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.860108;-3.968798
63.96;France;Brittany96;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.844642;-3.905913
63.97;France;Brittany97;infected;1979;"I._Arzul,_personal_communication,_2019;_Culloty_et_al.,_2007";47.805516;-3.872989
